Sun Jan 04 12:22:15 2015    profile_out1.txt

         1868107 function calls (1860775 primitive calls) in 20.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      419    0.003    0.000    0.028    0.000 BeautifulSoup.py:1360(unknown_endtag)
        1    0.004    0.004    0.028    0.028 utils.py:1(<module>)
       12    0.000    0.000    0.027    0.002 inputstream.py:242(readChunk)
        6    0.000    0.000    0.027    0.004 models.py:289(prepare)
     3222    0.013    0.000    0.027    0.000 utf_8.py:15(decode)
 2004/792    0.020    0.000    0.026    0.000 sre_parse.py:140(getwidth)
        1    0.002    0.002    0.026    0.026 Cookie.py:206(<module>)
        3    0.026    0.009    0.026    0.009 {open}
     3227    0.017    0.000    0.024    0.000 tokenizer.py:969(beforeAttributeValueState)
        1    0.012    0.012    0.024    0.024 zipfile.py:3(<module>)
        1    0.007    0.007    0.024    0.024 inputstream.py:445(detectEncoding)
        1    0.000    0.000    0.024    0.024 platform.py:10(<module>)
        1    0.000    0.000    0.024    0.024 dammit.py:50(EntitySubstitution)
        2    0.014    0.007    0.023    0.012 MyRecordSet.py:14(set_items)
        1    0.000    0.000    0.023    0.023 sgmllib.py:1(<module>)
      805    0.004    0.000    0.023    0.000 BeautifulSoup.py:558(<lambda>)
     1506    0.013    0.000    0.023    0.000 py.py:54(has_keys_with_prefix)
     1899    0.009    0.000    0.023    0.000 element.py:821(_all_strings)
       73    0.001    0.000    0.023    0.000 html5parser.py:1146(startTagVoidFormatting)
        1    0.001    0.001    0.023    0.023 Workbook.py:658(save)
        6    0.000    0.000    0.022    0.004 models.py:324(prepare_url)
      142    0.001    0.000    0.022    0.000 html5parser.py:1984(startTagTr)
        1    0.006    0.006    0.022    0.022 random.py:40(<module>)
        1    0.000    0.000    0.022    0.022 inputstream.py:150(__init__)
        1    0.001    0.001    0.022    0.022 tokenizer.py:1(<module>)
        1    0.000    0.000    0.021    0.021 platform.py:952(_node)
        1    0.021    0.021    0.021    0.021 {_socket.gethostname}
      132    0.001    0.000    0.021    0.000 __init__.py:1218(makeRecord)
        1    0.020    0.020    0.021    0.021 platform.py:553(win32_ver)
     4646    0.011    0.000    0.021    0.000 sre_parse.py:195(match)
        1    0.004    0.004    0.021    0.021 fields.py:7(<module>)
      132    0.008    0.000    0.020    0.000 __init__.py:242(__init__)
      190    0.002    0.000    0.020    0.000 markupbase.py:165(parse_comment)
        1    0.001    0.001    0.020    0.020 dammit.py:54(_populate_class_variables)
        1    0.000    0.000    0.020    0.020 Workbook.py:606(get_biff_data)
        4    0.000    0.000    0.020    0.005 __init__.py:78(__getattr__)
      357    0.005    0.000    0.020    0.000 ExcelFormulaLexer.py:101(nextToken)
     2239    0.015    0.000    0.020    0.000 tokenizer.py:405(closeTagOpenState)
     1282    0.006    0.000    0.020    0.000 html5parser.py:2076(processSpaceCharacters)
        1    0.004    0.004    0.019    0.019 idna.py:3(<module>)
    10383    0.019    0.000    0.019    0.000 {method 'keys' of 'dict' objects}
     6439    0.019    0.000    0.019    0.000 utils.py:42(__getitem__)
     1943    0.008    0.000    0.019    0.000 _htmlparser.py:61(handle_data)
        1    0.008    0.008    0.019    0.019 cElementTree.py:3(<module>)
     6990    0.019    0.000    0.019    0.000 {method 'append' of 'collections.deque' objects}
     9133    0.018    0.000    0.018    0.000 _lxml.py:166(_prefix_for_namespace)
        1    0.004    0.004    0.018    0.018 constants.py:1(<module>)
       12    0.000    0.000    0.018    0.002 mimetools.py:24(__init__)
      151    0.014    0.000    0.018    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.001    0.001    0.017    0.017 multipart.py:5(<module>)
      651    0.009    0.000    0.017    0.000 BeautifulSoup.py:1262(_popToTag)
        1    0.003    0.003    0.017    0.017 ExcelFormulaParser.py:3(<module>)
        1    0.000    0.000    0.017    0.017 inputstream.py:536(detectEncodingMeta)
